outer,inner,epoch,rmse_typ,omega_1,omega_2,rho,sigma,LL
1,7,625,0.12595996,0.32484335,0.2185213,0.41873986,0.036272552,-749.87646
1,7,650,0.12601002,0.32508495,0.21739605,0.42028242,0.0362514,-747.9528
1,7,675,0.12642406,0.3248473,0.21753484,0.4175346,0.036156777,-748.7397
1,7,700,0.12636407,0.32382253,0.21649383,0.41957703,0.036256112,-748.4296
1,7,725,0.12672828,0.32312104,0.2171477,0.42166933,0.036204837,-750.42804
1,7,750,0.18134242,0.6076323,0.31153995,0.56855446,0.039374605,-690.42993
1,7,775,0.13502505,0.31933862,0.20849293,0.38807842,0.035398453,-747.0438
1,7,800,0.1280568,0.31374,0.21782798,0.4054933,0.0361293,-749.9533
1,7,825,0.12910113,0.32435936,0.21551536,0.4266075,0.03611918,-749.7775
1,7,850,0.12842302,0.32464752,0.21617563,0.4248228,0.03605571,-750.2819
1,7,875,0.12762876,0.323118,0.2164131,0.4257917,0.036117915,-749.2999
1,7,900,0.12608373,0.31980202,0.21520203,0.42879573,0.036182534,-750.3926
1,7,925,0.1259522,0.31740344,0.21504755,0.43724456,0.036356587,-751.8294
1,7,950,0.124394126,0.3152893,0.2141357,0.4374632,0.036544863,-751.5678
1,7,975,0.12362266,0.31262806,0.21360938,0.44195962,0.036665764,-751.6975
1,7,1000,0.12270141,0.31084374,0.21360399,0.44728222,0.036768496,-752.5504
1,8,0,0.37110752,0.09064323,0.11129656,-0.027760984,0.077626996,9055.877
1,8,25,0.22660767,0.29282993,0.32973665,0.36450422,0.14861193,-502.9579
1,8,50,0.23517354,0.33923075,0.2319672,0.5593224,0.143369,-568.8212
1,8,75,0.22579348,0.31913772,0.17731091,0.7018825,0.122986704,-599.62634
1,8,100,0.2283677,0.30462477,0.2026078,0.7921978,0.10452852,-626.3702
1,8,125,0.27428734,0.3122147,0.21418574,0.8231254,0.09282083,-648.589
1,8,150,0.25072858,0.34285015,0.21121044,0.8401022,0.08007642,-669.5078
1,8,175,0.24542291,0.3694994,0.22126056,0.81315833,0.070109956,-683.0996
1,8,200,0.23952313,0.38640335,0.23534112,0.73654014,0.062211845,-692.16394
1,8,225,0.23401563,0.39536414,0.24111502,0.67786676,0.055507712,-700.92834
1,8,250,0.22537395,0.40411642,0.24301498,0.6509861,0.050303724,-707.303
1,8,275,0.2151028,0.41072255,0.2418023,0.6220689,0.046471253,-714.6855
1,8,300,0.2040572,0.40904847,0.23546405,0.587319,0.043734808,-722.04736
1,8,325,0.19355454,0.39609665,0.22582531,0.5379245,0.041769993,-730.09485
1,8,350,0.18246092,0.37174273,0.21675886,0.47319853,0.04035676,-741.1923
1,8,375,0.17245503,0.34258553,0.20948641,0.4131863,0.03934114,-750.71436
1,8,400,0.16803819,0.31944886,0.20654887,0.39021125,0.03870783,-755.5457
1,8,425,0.16570082,0.3102809,0.20464318,0.39627838,0.038589012,-755.9505
1,8,450,0.16434754,0.30870533,0.20439649,0.40487397,0.038748655,-757.23083
1,8,475,0.16511104,0.30780494,0.20372315,0.40416056,0.03886356,-758.2647
1,8,500,0.16508804,0.3080041,0.20320581,0.4043638,0.038922723,-756.04126
1,8,525,0.16355632,0.30773047,0.20311825,0.40385818,0.038973518,-757.62976
1,8,550,0.16554599,0.30793446,0.20310386,0.40384227,0.03895196,-758.7724
1,8,575,0.16596963,0.30751863,0.2030947,0.40423155,0.03895437,-757.21655
1,8,600,0.16402493,0.30782002,0.20282505,0.40523642,0.03895781,-758.04236
1,8,625,0.16503654,0.3074997,0.2028561,0.40544644,0.038965948,-758.8992
1,8,650,0.16537392,0.30769023,0.2031923,0.40429974,0.038979705,-757.4421
1,8,675,0.16499665,0.30772758,0.20338675,0.40541354,0.038945768,-757.7019
1,8,700,0.16515581,0.3076969,0.20292792,0.40526426,0.03892043,-758.26166
1,8,725,0.1580231,0.30778506,0.20360549,0.40734312,0.038924444,-755.2094
1,8,750,0.1670218,0.30809635,0.20336993,0.4036671,0.038972598,-757.95795
1,8,775,0.16545892,0.3074579,0.20331438,0.40540916,0.038982,-758.62775
1,8,800,0.16432354,0.30799964,0.2031166,0.40381444,0.038995184,-758.0163
1,8,825,0.16554677,0.30774826,0.20301521,0.40413392,0.038951043,-756.5217
1,8,850,0.16401114,0.30738845,0.20257977,0.4061797,0.03899381,-757.1675
1,8,875,0.16602553,0.3079236,0.20308341,0.4055167,0.038972255,-757.57336
1,8,900,0.16589262,0.307396,0.20363563,0.40525636,0.039011925,-757.2465
1,8,925,0.16518328,0.307867,0.20304887,0.4032563,0.039009746,-756.8308
1,8,950,0.16546445,0.30759454,0.20273317,0.4050379,0.038965147,-757.3507
1,8,975,0.16626135,0.308209,0.20340338,0.4062732,0.038938317,-757.7544
1,8,1000,0.1651928,0.30782494,0.20309705,0.40555942,0.03896572,-756.9224
